url,digg_count,play_count,share_count,repost_count,collect_count,comment_count,video_id,author_id,duration,description,create_time,author_unique_id,location_created
https://www.tiktok.com/@williesalim/video/7282758604321524997,105000.0,1600000.0,3216.0,0.0,7934.0,2863.0,7282758604321524997,6.992945236901478e+16,119.0,Semoga kucingnya kembali!!,1695649376,williesalim,ID
https://www.tiktok.com/@williesalim/video/7282771960164027654,135200.0,1900000.0,4062.0,0.0,9465.0,11700.0,7282771960164027654,6.992945236901478e+16,102.0,Semangat pejuang-pejuang Rupiaah!! ,1695652486,williesalim,ID
https://www.tiktok.com/@zachking/video/7282871494668225838,919200.0,17700000.0,18400.0,0.0,51164.0,7936.0,7282871494668225838,6.861649508535091e+16,26.0,How many rubber bands does it take to break a watermelon ? #rubberband #watermelon ,1695675673,zachking,US
https://www.tiktok.com/@williesalim/video/7283058738452286725,598200.0,12700000.0,15500.0,0.0,46197.0,15100.0,7283058738452286725,6.992945236901478e+16,62.0,Aku salah apa sampai harus begini?!,1695719257,williesalim,ID
https://www.tiktok.com/@williesalim/video/7283079788846238981,85900.0,1500000.0,2307.0,0.0,5501.0,3375.0,7283079788846238981,6.992945236901478e+16,75.0,Siapa yang mau coba alat khayalan kita?? Kalau mimpi kalian apa?! Comment dibawah ya!! @Google Indonesia  #SearchForTomorrow ,1695724158,williesalim,ID
https://www.tiktok.com/@williesalim/video/7283100474780290310,380500.0,9100000.0,9638.0,0.0,33522.0,11200.0,7283100474780290310,6.992945236901478e+16,74.0,Kenangan tak tergantikan oleh apapun!!,1695728975,williesalim,ID
https://www.tiktok.com/@williesalim/video/7283151373179391237,239800.0,4800000.0,11600.0,0.0,17650.0,7340.0,7283151373179391237,6.992945236901478e+16,46.0,Aku mau balas dendam!!!,1695740826,williesalim,ID
https://www.tiktok.com/@williesalim/video/7283240624025914629,576700.0,8300000.0,43800.0,0.0,52651.0,59900.0,7283240624025914629,6.992945236901478e+16,46.0,Nungguin sampai gak tidur,1695761607,williesalim,ID
https://www.tiktok.com/@williesalim/video/7283252552324369670,42300.0,799800.0,1720.0,0.0,3376.0,1500.0,7283252552324369670,6.992945236901478e+16,56.0,Bule dari paris !,1695764383,williesalim,ID
https://www.tiktok.com/@williesalim/video/7283282501395647749,153300.0,4900000.0,6186.0,0.0,12448.0,4335.0,7283282501395647749,6.992945236901478e+16,63.0,BORONG 10 TRUK,1695771358,williesalim,ID
